ActivityStartDate,ActivityDepthHeightMeasure.MeasureValue,CharacteristicName,ResultMeasureValue
1996-02-13,0,pH,7.61
1996-04-12,0,pH,8.32
1996-04-12,0,pH,8.35
1996-05-02,0,pH,7.32
1996-05-02,0,pH,8.45
1996-05-15,0,pH,8.52
1996-05-15,0,pH,8.51
1996-05-30,0,pH,8.39
1996-05-30,0,pH,8.38
1996-06-11,0,pH,8.63
1996-06-11,0,pH,8.52
1996-06-24,0,pH,8.46
1996-06-24,0,pH,8.5
1996-07-10,0,pH,8.53
1996-07-10,0,pH,8.56
1996-07-24,0,pH,8.71
1996-07-24,0,pH,8.7
1996-08-07,0,pH,8.85
1996-08-07,0,pH,8.84
1996-08-21,0,pH,8.89
1996-08-21,0,pH,8.86
1996-09-06,0,pH,8.75
1996-09-06,0,pH,8.76
1996-10-01,0,pH,8.76
1996-10-01,0,pH,8.77
1996-10-15,0,pH,8.74
1996-11-07,0,pH,8.37
1996-11-07,0,pH,8.37
1997-01-15,0,pH,8.26
1997-01-15,0,pH,8.22
1997-04-10,0,pH,8.5
1997-04-10,0,pH,8.49
1997-05-05,0,pH,8.39
1997-05-05,0,pH,8.34
1997-05-16,0,pH,8.65
1997-05-16,0,pH,8.67
1997-06-11,0,pH,8.1
1997-06-11,0,pH,8.65
1997-07-08,0,pH,8.73
1997-07-08,0,pH,8.58
1997-08-19,0,pH,8.71
1997-08-19,0,pH,8.55
1997-09-11,0,pH,8.68
1997-09-11,0,pH,8.68
1997-10-28,0,pH,8.63
1997-10-28,0,pH,8.65
1998-03-25,0,pH,8.28
1998-03-25,0,pH,8.29
1998-04-15,0,pH,8.41
1998-04-15,0,pH,8.44
1998-04-23,0,pH,8.72
1998-04-23,0,pH,8.7
1998-07-07,0,pH,8.58
1998-07-07,0,pH,8.67
1998-08-07,0,pH,8.79
1998-08-07,0,pH,8.79
1998-10-26,0,pH,8.37
1998-10-26,0,pH,8.27
1998-11-24,0,pH,8.56
1998-11-24,0,pH,8.58
1999-01-26,1,pH,8.17
1999-01-26,1,pH,8.1
1999-02-24,1,pH,8.57
1999-02-24,1,pH,8.55
1999-04-13,0,pH,8.29
1999-04-13,0,pH,8.4
1999-05-11,0,pH,8.41
1999-05-11,0,pH,8.4
1999-06-08,0,pH,8.46
1999-06-08,0,pH,8.45
1999-07-09,0,pH,8.56
1999-07-09,0,pH,8.5
1999-08-03,0,pH,8.62
1999-08-03,0,pH,8.6
1999-08-31,0,pH,8.9
1999-08-31,0,pH,8.9
1999-09-28,0,pH,8.9
1999-09-28,0,pH,8.92
1999-10-25,0,pH,8.59
1999-10-25,0,pH,8.59
1999-11-29,0,pH,8.39
1999-11-29,0,pH,8.42
2000-01-26,1,pH,8.43
2000-01-26,1,pH,8.42
2000-02-24,1,pH,8.16
2000-02-24,1,pH,8.04
2000-03-16,0,pH,8.41
2000-03-16,0,pH,8.35
2000-04-12,0,pH,8.04
2000-04-12,0,pH,7.96
2000-05-10,0,pH,8.46
2000-05-10,0,pH,8.46
2000-06-05,0,pH,8.47
2000-06-05,0,pH,8.47
2000-07-04,0,pH,8.85
2000-07-04,0,pH,8.85
2000-08-01,0,pH,8.76
2000-08-01,0,pH,8.75
2000-08-29,0,pH,8.91
2000-08-29,0,pH,8.89
2000-09-26,0,pH,8.83
2000-09-26,0,pH,8.81
2000-10-23,0,pH,8.87
2000-10-23,0,pH,8.76
2000-11-20,0,pH,8.56
2000-11-20,0,pH,8.55
