"ActivityStartDate","ActivityDepthHeightMeasure.MeasureValue","CharacteristicName","ResultMeasureValue"
"1981-04-23",2,"pH",5.6
"1981-04-23",10,"pH",5.52
"1981-04-23",15,"pH",5.49
"1981-04-23",17,"pH",5.32
"1981-05-06",2,"pH",5.48
"1981-05-06",10,"pH",5.48
"1981-05-06",15,"pH",5.44
"1981-06-04",0,"pH",5.76
"1981-06-04",3,"pH",5.85
"1981-06-04",7,"pH",6.17
"1981-06-04",15,"pH",6.1
"1981-06-04",19,"pH",5.8
"1981-07-27",0,"pH",6.3
"1981-07-27",5,"pH",6
"1981-07-27",8,"pH",5.74
"1981-07-27",10,"pH",5.65
"1981-07-27",12,"pH",5.4
"1981-07-27",19,"pH",5.35
"1981-08-25",0,"pH",5.88
"1981-08-25",3,"pH",6.03
"1981-08-25",5,"pH",6.09
"1981-08-25",8,"pH",5.89
"1981-08-25",10,"pH",5.76
"1981-08-25",12,"pH",5.68
"1981-08-25",19,"pH",5.51
"1981-09-24",0,"pH",5.94
"1981-09-24",3,"pH",5.89
"1981-09-24",5,"pH",5.83
"1981-09-24",8,"pH",5.85
"1981-09-24",10,"pH",5.87
"1981-09-24",12,"pH",5.81
"1981-09-24",15,"pH",5.59
"1981-09-24",19,"pH",5.27
"1982-01-22",3,"pH",7.47
"1982-01-22",12,"pH",6.95
"1982-01-22",19,"pH",5.83
"1982-03-01",3,"pH",5.46
"1982-03-01",15,"pH",5.41
"1982-03-01",19,"pH",5.57
"1982-04-08",3,"pH",6.15
"1982-04-08",15,"pH",5.44
"1982-04-08",19,"pH",5.32
"1982-05-10",0,"pH",5.19
"1982-05-10",5,"pH",5.64
"1982-05-10",10,"pH",5.58
"1982-05-10",15,"pH",5.45
"1982-05-10",20,"pH",6.43
"1982-05-27",0.5,"pH",5.57
"1982-05-27",4,"pH",5.96
"1982-05-27",7,"pH",6.38
"1982-05-27",10,"pH",6.5
"1982-05-27",15,"pH",6
"1982-05-27",19,"pH",5.71
"1982-06-07",0.5,"pH",7
"1982-06-07",3,"pH",6.4
"1982-06-07",5,"pH",6.13
"1982-06-07",8,"pH",6.37
"1982-06-07",10,"pH",8.26
"1982-06-07",12,"pH",7.3
"1982-06-07",15,"pH",6.63
"1982-06-24",0.5,"pH",8.63
"1982-06-24",5,"pH",5.26
"1982-06-24",7,"pH",6.37
"1982-06-24",9,"pH",8.51
"1982-06-24",16,"pH",6.77
"1982-06-24",19,"pH",6.41
"1982-07-06",0.5,"pH",8.74
"1982-07-06",5,"pH",6.73
"1982-07-06",7,"pH",6.34
"1982-07-06",10,"pH",6.41
"1982-07-06",14,"pH",8.37
"1982-07-06",19,"pH",5.81
"1982-07-19",0.5,"pH",6.19
"1982-07-19",6,"pH",5.98
"1982-07-19",8,"pH",6.08
"1982-07-19",11,"pH",6
"1982-07-19",15,"pH",5.77
"1982-07-19",19,"pH",5.6
"1982-08-03",0.5,"pH",4.08
"1982-08-03",6,"pH",5.96
"1982-08-03",9,"pH",5.77
"1982-08-03",13,"pH",5.79
"1982-08-03",16,"pH",5.23
"1982-08-03",19,"pH",5.43
"1982-08-16",0,"pH",6.48
"1982-08-16",7,"pH",6.35
"1982-08-16",10,"pH",5.51
"1982-08-16",12,"pH",5.77
"1982-08-16",15,"pH",5.76
"1982-08-16",19,"pH",5.49
"1982-09-09",0,"pH",6.2
"1982-09-09",10,"pH",5.99
"1982-09-09",12,"pH",5.82
"1982-09-09",14,"pH",5.74
"1982-09-09",16,"pH",5.46
"1982-09-09",19,"pH",5.42
"1982-09-22",0,"pH",5.7
"1982-09-22",12,"pH",6.42
"1982-09-22",13,"pH",5.69
"1982-09-22",17,"pH",5.54
"1982-09-22",18,"pH",5.45
