"ActivityStartDate","ActivityDepthHeightMeasure.MeasureValue","CharacteristicName","ResultMeasureValue"
"2011-03-14",21.9456,"Temperature, water","5.2"
"2011-03-14",21.9456,"Specific conductance","366"
"2011-03-14",12.192,"Temperature, water","4.6"
"2011-03-14",12.192,"Specific conductance","342"
"2011-03-14",1.524,"Temperature, water","3.4"
"2011-03-14",1.524,"Specific conductance","318"
"2011-07-26",0.3048,"Chloride","36.8"
"2011-07-26",0.3048,"Sulfate","3.94"
"2011-07-26",0.3048,"Specific conductance","291"
"2011-07-26",0.3048,"pH","8.8"
"2011-07-26",0.3048,"Temperature, water","28.1"
"2011-07-26",0.3048,"Specific conductance","291"
"2011-07-26",0.3048,"pH","8.9"
"2011-07-26",0.3048,"Alkalinity, total","85.6"
"2011-07-29",0.1524,"Temperature, water","27.7"
"2011-07-29",0.1524,"Specific conductance","368"
"2011-07-29",0.1524,"pH","9.5"
"2011-07-29",0.1524,"Alkalinity, total","48.0"
"2011-07-29",0.1524,"pH","9.8"
"2011-07-29",0.1524,"Chloride","74.8"
"2011-07-29",0.1524,"Sulfate","1.42"
"2011-07-29",0.1524,"Specific conductance","361"
"2011-10-06",0.6096,"pH","8.8"
"2011-07-29",0.1524,"Alkalinity, total","54.9"
"2010-11-22",0.4572,"Temperature, water","0.2"
"2010-11-22",0.4572,"Specific conductance","320"
"2010-11-22",0.4572,"pH","8.2"
"2011-07-29",0.6096,"Temperature, water","27.3"
"2011-07-29",0.6096,"Specific conductance","265"
"2011-07-29",0.6096,"pH","9.2"
"2011-07-29",0.6096,"Alkalinity, total","71.3"
"2011-07-29",0.6096,"Specific conductance","262"
"2011-07-29",0.6096,"Alkalinity, total","73.9"
"2011-07-29",0.6096,"Sulfate","3.92"
"2011-07-29",0.6096,"Chloride","35.6"
"2011-07-29",0.6096,"pH","9.0"
"2011-09-08",0.6096,"Temperature, water","22.9"
"2011-09-08",0.6096,"Specific conductance","274"
"2011-09-08",0.6096,"pH","8.9"
"2011-10-06",0.6096,"Temperature, water","17.3"
"2011-10-06",0.6096,"Specific conductance","296"
"2010-11-22",0.4572,"Temperature, water","1.4"
"2010-11-22",0.4572,"Specific conductance","308"
"2010-11-22",0.4572,"pH","8.3"
"2006-09-12",0.247,"pH","8.28"
"2007-05-07",4,"pH","7.06"
"2007-05-07",8,"pH","7.32"
"2007-08-16",5,"pH","8.49"
"2007-08-16",9,"pH","7.56"
"2008-08-21",8.997,"pH","7.64"
"2008-09-11",2.003,"pH","7.65"
"2008-09-11",8.006,"pH","7.61"
"2010-06-10",8.996,"pH","7.85"
"2010-08-05",5,"pH","8.73"
"2010-09-16",7.994,"pH","8.45"
"2012-05-08",9.695,"pH","8.19"
"2012-07-05",8.015,"pH","8.25"
"2012-08-28",9.678,"pH","8.01"
"2013-05-10",5.007,"pH","8.0"
"2006-09-29",1.005,"pH","7.98"
"2007-06-05",0,"pH","8.97"
"2007-06-05",5.1,"pH","7.98"
"2007-06-22",2,"pH","8.59"
"2007-07-13",1,"pH","8.17"
"2007-09-12",4.6,"pH","7.66"
"2008-05-09",1.996,"pH","8.23"
"2008-06-03",1.001,"pH","8.33"
"2008-09-11",0,"pH","7.71"
"2008-09-11",4.3,"pH","7.75"
"2009-05-06",2,"pH","8.65"
"2009-05-29",0.995,"pH","8.89"
"2010-07-19",1.002,"pH","8.54"
"2006-08-22",4.006,"pH","8.39"
"2007-06-22",0,"pH","8.52"
"2007-06-22",3,"pH","8.62"
"2007-08-16",6.2,"pH","7.95"
"2008-07-11",7.013,"pH","7.43"
"2008-09-11",0,"pH","7.65"
"2009-06-18",1.002,"pH","8.63"
"2009-05-06",2,"pH","8.14"
"2009-05-06",7,"pH","7.34"
"2009-05-29",2.003,"pH","8.5"
"2009-05-29",7,"pH","7.47"
"2009-06-18",5.997,"pH","7.56"
"2009-07-07",0.998,"pH","8.5"
"2009-07-07",6,"pH","7.72"
"2009-07-24",6,"pH","8.14"
"2009-08-11",0.998,"pH","8.31"
"2009-08-27",5.001,"pH","8.16"
"2009-09-16",5,"pH","8.15"
"2010-05-24",3.989,"pH","8.33"
"2010-07-19",0,"pH","8.63"
"2010-07-19",3.005,"pH","8.69"
"2010-08-05",0,"pH","8.41"
"2010-08-05",3,"pH","8.59"
"2010-08-27",0.043,"pH","8.65"
"2006-09-12",12.1,"pH","7.11"
"2010-08-27",3.008,"pH","8.68"
"2011-05-23",0,"pH","8.29"
