"ActivityStartDate","ActivityDepthHeightMeasure.MeasureValue","CharacteristicName","ResultMeasureValue"
"1988-06-30",10,"pH","7"
"2005-08-03",8.02,"Turbidity","3.7"
"2007-08-15",16,"pH","6.67"
"2007-09-05",14,"pH","6.58"
"2008-05-06",4.008,"pH","7.72"
"2008-05-06",7.996,"pH","7.36"
"2008-06-18",5,"pH","7.98"
"2008-07-30",5.001,"pH","7.89"
"2008-08-20",3.002,"pH","7.9"
"2008-09-10",11.991,"pH","6.29"
"2009-05-28",0,"pH","8.5"
"2009-06-17",0.992,"pH","8.57"
"2009-06-17",3.995,"pH","8.52"
"2010-06-25",5.994,"pH","7.41"
"2010-07-16",1.002,"pH","8.35"
"2010-08-04",6,"pH","8.03"
"2010-09-15",3.003,"pH","8.46"
"2012-03-28",12.004,"pH","6.99"
"2012-05-02",6.074,"pH","8.54"
"2013-01-09",4.996,"pH","8.46"
"2013-05-06",0,"pH","8.65"
"2013-06-13",1.01,"pH","9.0"
"2013-07-02",6.008,"pH","7.9"
"1958-05-12",12.19,"Dissolved oxygen (DO)","7.2"
"1958-05-12",0,"Dissolved oxygen (DO)","12.8"
"1958-05-12",0,"Dissolved oxygen saturation","131.959"
"1958-05-12",0,"Depth, Secchi disk depth","3.96"
"1958-05-12",0,"Temperature, water","16.67"
"1958-05-12",1.52,"Temperature, water","15.56"
"1958-05-12",3.05,"Temperature, water","13.89"
"1958-05-12",4.57,"Temperature, water","10"
"1958-05-12",6.1,"Dissolved oxygen (DO)","11.6"
"1958-05-12",6.1,"Dissolved oxygen saturation","100"
"1958-05-12",6.1,"Temperature, water","8.89"
"1958-05-12",7.62,"Temperature, water","8.33"
"1958-05-12",9.14,"Dissolved oxygen (DO)","7.4"
"1958-05-12",9.14,"Dissolved oxygen saturation","62.1848"
"1958-05-12",9.14,"Temperature, water","7.78"
"1958-05-12",10.67,"Temperature, water","7.22"
"1958-05-12",12.19,"Dissolved oxygen saturation","59.0164"
"1958-05-12",12.19,"Temperature, water","6.67"
"1958-05-12",13.72,"Temperature, water","6.11"
"1958-05-12",15.24,"Dissolved oxygen (DO)","3.1"
"1958-05-12",15.24,"Dissolved oxygen saturation","24.8"
"1958-05-12",15.24,"Temperature, water","5.56"
"1958-05-12",17.07,"Temperature, water","5.56"
"1971-03-16",1.22,"pH","7.4"
"1971-03-16",1.22,"Turbidity","6.5"
"1971-03-16",1.22,"Alkalinity, total","105"
"1971-03-16",1.22,"Phosphorus","0.175"
"1971-03-16",1.22,"Phosphorus","0.175"
"1971-03-16",1.22,"Chloride","30.1"
"1971-03-16",1.22,"Sulfate","22.7"
"1971-03-16",13.11,"pH","7.6"
"1971-03-16",13.11,"Turbidity","2.5"
"1971-03-16",13.11,"Alkalinity, total","135"
"1971-03-16",13.11,"Phosphorus","0.23"
"1971-03-16",13.11,"Phosphorus","0.21"
"1971-03-16",13.11,"Chloride","33.6"
"1973-07-02",1.52,"Temperature, water","25"
"1971-03-16",13.11,"Sulfate","32"
"1973-07-02",0,"Dissolved oxygen (DO)","6.8"
"1973-07-02",0,"Dissolved oxygen saturation","80.9871"
"1973-07-02",0,"Depth, Secchi disk depth","1.01"
"1973-07-02",0,"Temperature, water","25.28"
"1973-07-02",0,"Organic Nitrogen","0.17"
"1973-07-02",0,"Alkalinity, total","87.5"
"1973-07-02",0,"Phosphorus","0.005"
"1973-07-02",0,"Chloride","45"
"1973-07-02",0,"Sulfate","25"
"1973-07-02",0,"Inorganic nitrogen (nitrate and nitrite)",""
"1973-07-02",1.52,"Dissolved oxygen (DO)","6.2"
"1973-07-02",1.52,"Dissolved oxygen saturation","73.8095"
"1973-07-02",2.13,"Temperature, water","25"
"1973-07-02",3.05,"Dissolved oxygen (DO)","5.8"
"1973-07-02",3.05,"Dissolved oxygen saturation","65.9091"
"1973-07-02",3.05,"Temperature, water","22.22"
"1973-07-02",3.66,"Dissolved oxygen (DO)","5"
"1973-07-02",3.66,"Dissolved oxygen saturation","56.8182"
"1973-07-02",3.66,"Temperature, water","21.94"
"1973-07-02",4.57,"Dissolved oxygen (DO)","0.7"
"1973-07-02",4.57,"Dissolved oxygen saturation","7.36842"
"1973-07-02",4.57,"Temperature, water","18.33"
"1973-07-02",6.1,"Dissolved oxygen (DO)","0.5"
"1973-07-02",6.1,"Dissolved oxygen saturation","4.80769"
"1973-07-02",6.1,"Temperature, water","14.44"
"1973-07-02",7.01,"Temperature, water","13.06"
"1973-07-02",7.92,"Temperature, water","12.22"
"1973-07-02",8.53,"Temperature, water","11.67"
"1973-07-02",12.19,"Dissolved oxygen (DO)","0.2"
"1973-07-02",12.19,"Dissolved oxygen saturation","1.76991"
"1973-07-02",12.19,"Temperature, water","9.72"
"1973-07-02",16.76,"Temperature, water","9.44"
"1978-06-14",0,"Dissolved oxygen (DO)","10.4"
"1978-06-14",0,"Dissolved oxygen saturation","115.556"
"1978-06-14",0,"Depth, Secchi disk depth","0.88"
"1978-06-14",0,"Temperature, water","20.56"
"1978-06-14",1.52,"Dissolved oxygen (DO)","10.8"
"1978-06-14",1.52,"Dissolved oxygen saturation","120"
"1978-06-14",1.52,"Temperature, water","20.56"
"1978-06-14",2.13,"Temperature, water","20.56"
"1978-06-14",3.05,"Dissolved oxygen (DO)","9"
"1978-06-14",3.05,"Dissolved oxygen saturation","94.7368"
"1978-06-14",3.05,"Temperature, water","17.89"
"1978-06-14",4.27,"Dissolved oxygen (DO)","4.8"
"1978-06-14",4.27,"Dissolved oxygen saturation","44.4444"
"1978-06-14",4.27,"Temperature, water","12.22"
"1978-06-14",4.57,"Dissolved oxygen (DO)","0.6"
"1978-06-14",4.57,"Dissolved oxygen saturation","5.30973"
"1978-06-14",4.57,"Temperature, water","10.28"
"1978-06-14",6.1,"Dissolved oxygen (DO)","1.6"
"1978-06-14",6.1,"Dissolved oxygen saturation","13.1147"
"1978-06-14",6.1,"Temperature, water","6.67"
"1978-06-14",7.01,"Temperature, water","6.11"
"1978-06-14",7.92,"Temperature, water","5.67"
"1978-06-14",9.14,"Dissolved oxygen (DO)","4.2"
"1978-06-14",9.14,"Dissolved oxygen saturation","33.6"
"1978-06-14",9.14,"Temperature, water","5.56"
"1978-06-14",12.19,"Dissolved oxygen (DO)","1"
"1978-06-14",13.11,"Temperature, water","5"
"1978-06-14",15.24,"Temperature, water","5"
"1985-02-06",7.92,"Dissolved oxygen (DO)","4.3"
"1985-02-06",7.92,"Dissolved oxygen saturation","31.8518"
"1985-02-06",7.92,"Temperature, water","3.5"
"1985-02-06",14.94,"Dissolved oxygen (DO)","0.7"
"1985-02-06",14.94,"Dissolved oxygen saturation","5.18518"
"1985-02-06",14.94,"Temperature, water","3.5"
"1977-06-15",0.91,"Dissolved oxygen (DO)","9.4"
"1977-06-15",0.91,"Dissolved oxygen saturation","106.818"
"1977-06-15",0.91,"Depth, Secchi disk depth","1.8"
"1977-06-15",0.91,"Temperature, water","22.5"
"1977-06-15",0.91,"Specific conductance","380"
"1977-06-15",0.91,"pH","8.9"
"1977-06-15",0.91,"Phosphorus","0.04"
"1977-06-15",0.91,"Chlorophyll a, corrected for pheophytin","15"
"1977-06-15",1.52,"Temperature, water","21.8"
"1977-06-15",3.05,"Temperature, water","20.5"
"1977-06-15",4.57,"Temperature, water","10"
"1977-06-15",6.1,"Temperature, water","8"
"1977-06-15",7.62,"Temperature, water","6.5"
"1977-06-15",9.14,"Temperature, water","5.5"
"1977-06-15",10.67,"Temperature, water","5"
"1977-06-15",11.89,"Temperature, water","5"
"1977-08-16",9.14,"Temperature, water","7"
"1977-08-16",0.91,"Dissolved oxygen (DO)","9.1"
"1977-08-16",0.91,"Dissolved oxygen saturation","103.409"
"1977-08-16",0.91,"Depth, Secchi disk depth","2"
"1977-08-16",0.91,"Temperature, water","22"
"1984-05-14",6,"Dissolved oxygen (DO)","8.4"
"1977-08-16",0.91,"Specific conductance","345"
"1977-08-16",0.91,"pH","8.9"
"1977-08-16",0.91,"Phosphorus","0.02"
"1977-08-16",0.91,"Chlorophyll a, corrected for pheophytin","9"
"1977-08-16",1.52,"Temperature, water","22"
"1977-08-16",3.05,"Temperature, water","22"
"1977-08-16",4.57,"Temperature, water","22"
"1977-08-16",6.1,"Temperature, water","14"
"1977-08-16",7.62,"Temperature, water","9"
"1984-05-14",0,"Dissolved oxygen (DO)","9.3"
"1984-05-14",0,"Dissolved oxygen saturation","87.7358"
"1984-05-14",0,"Depth, Secchi disk depth","6"
