"ActivityStartDate","ActivityDepthHeightMeasure.MeasureValue","CharacteristicName","ResultMeasureValue"
"1953-08-25",0,"Depth, Secchi disk depth","3.35"
"1953-08-25",0,"Temperature, water","25.56"
"1953-08-25",0,"Alkalinity, total","132.5"
"1953-08-25",0,"Phosphorus","0.028"
"1953-08-25",0,"Sulfate","20"
"1953-08-25",1.52,"Dissolved oxygen (DO)","8.1"
"1953-08-25",6.1,"Dissolved oxygen (DO)","5.6"
"1953-08-25",9.14,"Dissolved oxygen (DO)","0"
"1953-08-25",24.38,"Temperature, water","8.33"
"1958-05-26",0,"Dissolved oxygen (DO)","10.6"
"1958-05-26",0,"Dissolved oxygen saturation","111.579"
"1958-05-26",0,"Depth, Secchi disk depth","4.57"
"1958-05-26",0,"Temperature, water","17.78"
"1958-05-26",0,"Alkalinity, total","120"
"1958-05-26",3.05,"Temperature, water","17.22"
"1958-05-26",6.1,"Dissolved oxygen (DO)","10.4"
"1958-05-26",6.1,"Dissolved oxygen saturation","107.216"
"1958-05-26",6.1,"Temperature, water","16.67"
"1958-05-26",7.92,"Temperature, water","10.28"
"1958-05-26",10.06,"Dissolved oxygen (DO)","4.4"
"1958-05-26",10.06,"Dissolved oxygen saturation","37.931"
"1958-05-26",10.06,"Temperature, water","8.89"
"1958-05-26",16.15,"Dissolved oxygen (DO)","2.8"
"1958-05-26",16.15,"Dissolved oxygen saturation","23.5294"
"1958-05-26",16.15,"Temperature, water","8.33"
"1971-03-10",1.22,"pH","7.8"
"1971-03-10",1.22,"Turbidity","5.7"
"1971-03-10",1.22,"Alkalinity, total","135"
"1971-03-10",1.22,"Phosphorus","0.23"
"1971-03-10",1.22,"Phosphorus","0.16"
"1971-03-10",1.22,"Chloride","50"
"1971-03-10",1.22,"Sulfate","46"
"1971-03-10",3.66,"pH","8"
"1971-03-10",3.66,"Turbidity","3.6"
"1971-03-10",3.66,"Alkalinity, total","135"
"1971-03-10",3.66,"Phosphorus","0.25"
"1971-03-10",3.66,"Phosphorus","0.115"
