"ActivityStartDate","ActivityDepthHeightMeasure.MeasureValue","CharacteristicName","ResultMeasureValue"
"2004-09-23",3,"pH","6.9"
"2004-08-05",2,"pH","7.0"
"1978-05-23",0.9144,"Temperature, water","10.0"
"2004-08-05",4,"pH","6.5"
"2004-08-05",4,"Specific conductance","26.0"
"2004-08-05",4,"Temperature, water","17.4"
"2004-08-05",5,"pH","6.1"
"2004-08-05",5,"Specific conductance","27.0"
"2004-08-05",5,"Temperature, water","14.3"
"2004-08-05",6,"pH","6.0"
"2001-07-16",0.054,"Depth, Secchi disk depth","2.0"
"2004-08-05",7,"pH","6.3"
"2001-05-21",0.05,"pH","7.0"
"2001-05-21",0.05,"Specific conductance","16.0"
"2001-05-21",0.05,"Temperature, water","16.5"
"2001-07-16",0.054,"pH","7.1"
"2001-07-16",0.054,"Specific conductance","13.0"
"2001-07-16",0.054,"Temperature, water","25.0"
"2002-05-06",0.05,"pH","6.4"
"2001-07-16",5,"pH","6.3"
"2001-07-16",5,"Specific conductance","14.0"
"2001-07-16",5,"Temperature, water","10.5"
"2001-09-19",0.05,"Depth, Secchi disk depth","2.2"
"2001-09-19",0.05,"pH","6.7"
"2001-09-19",0.05,"Specific conductance","20.0"
"2001-09-19",0.05,"Temperature, water","17.3"
"2002-05-06",0.05,"Ammonia and ammonium","0.033"
"2002-05-06",0.05,"Organic Nitrogen","0.38"
"2002-05-06",0.05,"Organic Nitrogen","0.38"
"2002-05-06",0.05,"Depth, Secchi disk depth","2.6"
"2002-05-06",0.05,"pH","7.1"
"2002-05-06",0.05,"Specific conductance","26.0"
"2002-05-06",0.05,"Specific conductance","13.0"
"2002-05-06",0.05,"Temperature, water","6.7"
"2002-05-06",0.05,"Alkalinity, total","6.0"
"2002-05-06",0.05,"Chloride",""
"2002-05-06",0.05,"Sulfate","1.54"
"2002-05-06",0.05,"Ammonia and ammonium","0.03"
"2002-05-06",0.05,"Inorganic nitrogen (nitrate and nitrite)","0.08"
"2002-05-06",0.05,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","0.49"
"2002-05-06",0.05,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","0.49"
"2002-05-06",0.05,"Phosphorus","0.004"
"2002-05-06",0.05,"Phosphorus","0.009000000000000001"
"2002-05-06",1.22,"pH","6.4"
"2002-05-06",1.22,"Specific conductance","13.0"
"2002-05-06",1.22,"Temperature, water","6.7"
"2002-05-06",3.05,"pH","6.5"
