"ActivityStartDate","ActivityDepthHeightMeasure.MeasureValue","CharacteristicName","ResultMeasureValue"
"1981-05-18",8,"pH","8"
"1985-12-30",0.5,"pH","8"
"1958-06-29",0,"Alkalinity, total","162.5"
"1958-07-29",0,"Dissolved oxygen (DO)","14.7"
"1958-07-29",0,"Dissolved oxygen saturation","179.268"
"1958-07-29",0,"Depth, Secchi disk depth","0.76"
"1958-07-29",0,"Temperature, water","25.56"
"1958-07-29",2.13,"Temperature, water","21.11"
"1958-07-29",3.05,"Dissolved oxygen (DO)","5.5"
"1958-07-29",3.05,"Dissolved oxygen saturation","58.5106"
"1958-07-29",3.05,"Temperature, water","18.89"
"1958-07-29",4.88,"Dissolved oxygen (DO)","2.6"
"1958-07-29",4.88,"Dissolved oxygen saturation","26"
"1958-07-29",4.88,"Temperature, water","15.56"
"1958-07-29",6.1,"Temperature, water","11.67"
"1958-07-29",7.92,"Dissolved oxygen (DO)","0"
"1958-07-29",10.06,"Temperature, water","8.89"
"1976-07-07",0,"Temperature, water","26.11"
"1976-07-07",0,"Alkalinity, total","150"
"1976-07-27",0,"Dissolved oxygen (DO)","13.4"
"1976-07-27",0,"Dissolved oxygen saturation","163.415"
"1976-07-27",0,"Temperature, water","26.11"
"1976-07-27",0,"Alkalinity, total","145"
"1976-07-27",0,"Phosphorus","0.472"
"1976-07-27",0,"Sulfate","25"
"1976-07-27",0.91,"Temperature, water","25.56"
"1976-07-27",2.13,"Dissolved oxygen (DO)","7"
"1976-07-27",2.13,"Dissolved oxygen saturation","82.3529"
"1976-07-27",2.13,"Temperature, water","23.89"
"1976-07-27",3.05,"Dissolved oxygen (DO)","1.6"
"1976-07-27",3.05,"Dissolved oxygen saturation","18.3908"
"1976-07-27",3.05,"Temperature, water","22.78"
"1976-07-27",3.96,"Dissolved oxygen (DO)","1.1"
"1976-07-27",3.96,"Dissolved oxygen saturation","12.2222"
"1976-07-27",3.96,"Temperature, water","21.11"
"1976-07-27",4.88,"Temperature, water","17.78"
"1976-07-27",6.1,"Temperature, water","12.78"
"1976-07-27",7.92,"Temperature, water","11.11"
"1976-07-27",10.06,"Temperature, water","8.89"
"1976-08-31",0,"pH","9.4"
"1976-08-31",0,"Alkalinity, total","145"
"1976-08-31",0,"Phosphorus","0.024"
"1976-09-01",0,"Phosphorus","0.472"
"1976-09-01",0,"Chloride","44"
"1976-09-01",0,"Sulfate","25"
"1977-07-19",0,"Phosphorus","0.35"
"1978-11-08",0,"pH","8.1"
"1978-11-08",0,"Depth, Secchi disk depth","0.7"
"1978-11-08",0,"Specific conductance","480"
"1978-11-08",0,"Turbidity","8"
"1978-11-08",0,"Organic Nitrogen","1.8"
"1978-11-08",0,"Inorganic nitrogen (nitrate and nitrite)","0.02"
"1978-11-08",0,"Alkalinity, total","250"
"1978-11-08",0,"Phosphorus","2.19"
"1978-11-08",0,"Chlorophyll a, corrected for pheophytin","138"
"1978-11-08",0,"Total suspended solids","24"
"1978-11-08",0,"Chloride","14"
"1978-11-08",8,"pH","8.3"
"1978-11-08",8,"Specific conductance","480"
"1978-11-08",8,"Turbidity","10"
"1978-11-08",8,"Organic Nitrogen","1.8"
"1978-11-08",8,"Inorganic nitrogen (nitrate and nitrite)","0.04"
"1978-11-08",8,"Alkalinity, total","260"
