"ActivityStartDate","ActivityDepthHeightMeasure.MeasureValue","CharacteristicName","ResultMeasureValue"
"1986-05-16",12.2,"pH","8"
"1986-06-17",15,"pH","8"
"1962-09-10",0,"Dissolved oxygen (DO)","5.6"
"1962-09-10",0,"Dissolved oxygen saturation","60.8695"
"1962-09-10",0,"Depth, Secchi disk depth","2.44"
"1962-09-10",0,"Temperature, water","20.28"
"1962-09-10",0,"Inorganic nitrogen (nitrate and nitrite)","0.035"
"1962-09-10",0,"Alkalinity, total","148"
"1962-09-10",0,"Phosphorus","0.054"
"1962-09-10",2.13,"Temperature, water","20"
"1962-09-10",3.96,"Dissolved oxygen (DO)","3.7"
"1962-09-10",3.96,"Dissolved oxygen saturation","39.3617"
"1962-09-10",3.96,"Temperature, water","19.44"
"1962-09-10",6.1,"Dissolved oxygen (DO)","3.6"
"1962-09-10",7.92,"Temperature, water","18.06"
"1962-09-10",10.06,"Temperature, water","17.78"
"1962-09-10",11.89,"Dissolved oxygen (DO)","2.8"
"1962-09-10",11.89,"Dissolved oxygen saturation","28.866"
"1962-09-10",11.89,"Temperature, water","17.33"
"1962-09-10",14.02,"Dissolved oxygen (DO)","4.6"
"1962-09-10",14.02,"Dissolved oxygen saturation","46"
"1962-09-10",14.02,"Temperature, water","15.56"
"1962-09-10",16.15,"Temperature, water","10.72"
"1962-09-10",0,"Dissolved oxygen (DO)","6.4"
"1962-09-10",0,"Dissolved oxygen saturation","69.5652"
"1962-09-10",0,"Temperature, water","20"
"1962-09-10",0,"Inorganic nitrogen (nitrate and nitrite)","0.0305"
"1962-09-10",0,"Alkalinity, total","150"
"1962-09-10",0,"Phosphorus","0.035"
"1962-09-10",2.13,"Temperature, water","19.44"
"1962-09-10",3.96,"Temperature, water","18.33"
"1962-09-10",6.1,"Dissolved oxygen (DO)","7.3"
"1962-09-10",7.92,"Temperature, water","18.33"
"1962-09-10",10.06,"Dissolved oxygen (DO)","6.4"
"1962-09-10",11.89,"Dissolved oxygen (DO)","6.2"
"1962-09-10",16.15,"Dissolved oxygen (DO)","4.8"
"1970-08-28",10.97,"Dissolved oxygen (DO)","0"
"1970-08-28",10.97,"Dissolved oxygen saturation","0"
"1970-08-28",10.97,"Temperature, water","20"
"1970-08-28",10.97,"pH","8"
"1970-08-28",10.97,"Turbidity","4.8"
"1970-08-28",10.97,"Organic Nitrogen","2.3"
"1970-08-28",10.97,"Alkalinity, total","160"
"1970-08-28",10.97,"Phosphorus","0.06"
"1970-08-28",10.97,"Total suspended solids","6"
"1970-08-28",0,"Dissolved oxygen (DO)","5.2"
"1970-08-28",0,"Dissolved oxygen saturation","59.0909"
"1970-08-28",0,"Temperature, water","22.22"
"1970-08-28",0,"pH","8.6"
"1970-08-28",0,"Turbidity","2.6"
"1970-08-28",0,"Organic Nitrogen","0.91"
"1970-08-28",0,"Alkalinity, total","150"
"1970-08-28",0,"Phosphorus","0.06"
"1970-08-28",0,"Total suspended solids","5"
"1970-08-28",0,"Dissolved oxygen (DO)","7.4"
"1970-08-28",0,"Dissolved oxygen saturation","85.0574"
"1970-08-28",0,"Temperature, water","22.78"
"1970-08-28",0,"pH","8.7"
"1970-08-28",0,"Turbidity","3.1"
"1970-08-28",0,"Organic Nitrogen","0.9"
"1970-08-28",0,"Alkalinity, total","140"
"1970-08-28",0,"Phosphorus","0.05"
"1970-08-28",0,"Total suspended solids","6"
"1970-08-28",0,"Dissolved oxygen (DO)","9.6"
"1970-08-28",0,"Dissolved oxygen saturation","110.345"
"1970-08-28",0,"Temperature, water","22.78"
"1970-08-28",0,"pH","8.7"
"1970-08-28",0,"Turbidity","2.9"
"1970-08-28",0,"Organic Nitrogen","1.1"
"1970-08-28",0,"Alkalinity, total","140"
"1970-08-28",0,"Phosphorus","0.05"
"1970-08-28",0,"Total suspended solids","4"
"1970-08-28",9.14,"Dissolved oxygen (DO)","4.3"
"1970-08-28",9.14,"Dissolved oxygen saturation","47.7777"
"1970-08-28",9.14,"Temperature, water","21.11"
"1970-08-28",9.14,"pH","8.4"
"1970-08-28",9.14,"Turbidity","2.4"
"1970-08-28",9.14,"Organic Nitrogen","0.85"
"1970-08-28",9.14,"Phosphorus","0.06"
"1970-08-28",9.14,"Alkalinity, total","140"
"1970-08-28",9.14,"Total suspended solids","4"
"1970-08-28",0,"Dissolved oxygen (DO)","8.8"
"1970-08-28",0,"Dissolved oxygen saturation","101.149"
"1970-08-28",0,"Temperature, water","22.78"
"1970-08-28",0,"pH","8.7"
"1970-08-28",0,"Turbidity","2.5"
"1970-08-28",0,"Organic Nitrogen","0.9"
"1970-08-28",0,"Alkalinity, total","150"
"1970-08-28",15.24,"Dissolved oxygen saturation","0"
"1970-08-28",0,"Phosphorus","0.06"
"1970-08-28",0,"Total suspended solids","5"
"1970-08-28",0,"Dissolved oxygen (DO)","10"
"1970-08-28",0,"Dissolved oxygen saturation","114.943"
"1970-08-28",0,"Temperature, water","23.33"
"1970-08-28",0,"pH","8.7"
"1970-08-28",0,"Turbidity","2.7"
"1970-08-28",0,"Organic Nitrogen","0.72"
"1970-08-28",0,"Alkalinity, total","150"
"1970-08-28",0,"Phosphorus","0.05"
"1970-08-28",0,"Total suspended solids","4"
"1970-08-28",0,"Dissolved oxygen (DO)","9.3"
"1970-08-28",0,"Dissolved oxygen saturation","106.897"
"1970-08-28",0,"Temperature, water","22.78"
"1970-08-28",0,"pH","8.6"
"1970-08-28",0,"Turbidity","2.6"
"1970-08-28",0,"Organic Nitrogen","0.59"
"1970-08-28",0,"Alkalinity, total","170"
"1970-08-28",0,"Phosphorus","0.04"
"1970-08-28",0,"Total suspended solids","4"
"1970-08-28",0,"Dissolved oxygen (DO)","9.1"
"1970-08-28",0,"Dissolved oxygen saturation","104.598"
"1970-08-28",0,"Temperature, water","23.33"
"1970-08-28",0,"pH","8.4"
"1970-08-28",0,"Turbidity","2.5"
"1970-08-28",0,"Organic Nitrogen","0.66"
"1970-08-28",0,"Alkalinity, total","160"
"1970-08-28",0,"Phosphorus","0.04"
"1970-08-28",0,"Total suspended solids","4"
"1970-08-28",15.24,"Dissolved oxygen (DO)","0"
"1970-08-28",15.24,"Temperature, water","15.56"
"1970-08-28",15.24,"Turbidity","31"
"1970-08-28",15.24,"Organic Nitrogen","0.6"
"1970-08-28",15.24,"pH","7.6"
"1970-08-28",15.24,"Alkalinity, total","170"
"1970-08-28",15.24,"Phosphorus","0.28"
"1970-08-28",15.24,"Total suspended solids","3"
"1970-08-28",0,"Dissolved oxygen (DO)","8.9"
"1970-08-28",0,"Dissolved oxygen saturation","104.706"
"1970-08-28",0,"Temperature, water","24.44"
"1970-08-28",0,"Turbidity","2.6"
"1970-08-28",0,"Organic Nitrogen","0.73"
"1970-08-28",0,"Alkalinity, total","160"
"1970-08-28",0,"Phosphorus","0.04"
"1970-08-28",0,"Total suspended solids","4"
"1970-08-28",0,"pH","8.5"
"1970-08-28",0,"Dissolved oxygen (DO)","9.4"
"1970-08-28",0,"Dissolved oxygen saturation","110.588"
"1970-08-28",0,"Temperature, water","23.89"
