"ActivityStartDate","ActivityDepthHeightMeasure.MeasureValue","CharacteristicName","ResultMeasureValue"
"1997-08-26",0,"pH","8.9"
"1990-07-18",0.5,"pH","8.8"
"2000-06-22",9,"pH","7.6"
"2001-02-15",7,"pH","7.6"
"1958-05-21",0,"Depth, Secchi disk depth","1.98"
"1958-05-21",0,"Temperature, water","16.67"
"1958-05-21",0,"Dissolved oxygen (DO)","10.7"
"1958-05-21",0,"Dissolved oxygen saturation","110.309"
"1958-05-21",3.05,"Temperature, water","15.56"
"1958-05-21",4.57,"Temperature, water","14.44"
"1958-05-21",6.1,"Dissolved oxygen (DO)","8.2"
"1958-05-21",6.1,"Dissolved oxygen saturation","72.5663"
"1958-05-21",6.1,"Temperature, water","10"
"1958-05-21",9.14,"Temperature, water","8.89"
"1958-05-21",12.19,"Dissolved oxygen (DO)","6"
"1958-05-21",12.19,"Dissolved oxygen saturation","50.4202"
"1958-05-21",12.19,"Temperature, water","8.33"
"1958-05-21",15.24,"Dissolved oxygen (DO)","4.8"
"1958-05-21",15.24,"Dissolved oxygen saturation","40.3361"
"1958-05-21",15.24,"Temperature, water","8.33"
"1958-05-21",18.29,"Dissolved oxygen (DO)","3"
"1958-05-21",18.29,"Dissolved oxygen saturation","25.2101"
"1958-05-21",18.29,"Temperature, water","8.33"
"1958-05-21",21.34,"Dissolved oxygen (DO)","0.6"
"1958-05-21",21.34,"Dissolved oxygen saturation","5.04202"
"1958-05-21",21.34,"Temperature, water","7.78"
"1958-05-21",24.38,"Temperature, water","7.78"
"1971-04-21",0,"Phosphorus","0.057"
"1971-04-21",0,"Chlorophyll a, uncorrected for pheophytin","26.69"
"1971-04-21",10,"Phosphorus","0.048"
"1971-04-21",20,"Phosphorus","0.091"
"1971-05-26",0,"Depth, Secchi disk depth","1.5"
"1971-05-20",0,"pH","8.5"
"1971-05-20",0,"Depth, Secchi disk depth","1.5"
"1971-05-20",0,"Phosphorus","0.062"
"1971-05-20",0,"Alkalinity, total","123"
"1971-05-20",0,"Chlorophyll a, uncorrected for pheophytin","15.38"
"1971-05-20",10,"pH","7.6"
"1971-05-20",10,"Alkalinity, total","128"
"1971-07-19",0,"Depth, Secchi disk depth","3.4"
"1971-05-20",10,"Phosphorus","0.055"
"1971-05-20",20,"pH","7.45"
"1971-05-20",20,"Alkalinity, total","132"
"1971-05-20",20,"Phosphorus","0.086"
"1971-05-26",0,"Chlorophyll a, uncorrected for pheophytin","25.11"
"1971-06-08",0,"pH","8.42"
"1971-06-08",0,"Depth, Secchi disk depth","3.3"
"1971-06-08",0,"Chlorophyll a, uncorrected for pheophytin","1.51"
"1971-06-08",0,"Phosphorus","0.051"
"1971-06-08",10,"pH","7.43"
"1971-06-08",10,"Phosphorus","0.08"
"1971-06-08",20,"pH","7.3"
"1971-06-08",20,"Phosphorus","0.111"
"1971-06-22",0,"Depth, Secchi disk depth","2.6"
"1971-06-23",0,"Depth, Secchi disk depth","2.4"
"1971-06-23",0,"Chlorophyll a, uncorrected for pheophytin","5.03"
"1971-06-23",19.81,"Chlorophyll a, uncorrected for pheophytin","0.87"
"1971-06-29",0,"pH","8.7"
"1971-06-29",0,"Depth, Secchi disk depth","2.2"
"1971-06-29",0,"Alkalinity, total","116"
"1971-06-29",0,"Phosphorus","0.045"
"1971-06-29",0,"Chlorophyll a, uncorrected for pheophytin","1.19"
"1971-06-29",10,"pH","7.5"
"1971-06-29",10,"Alkalinity, total","133"
"1971-06-29",10,"Phosphorus","0.1"
"1971-06-29",20,"pH","7.35"
"1971-06-29",20,"Alkalinity, total","134"
"1971-06-29",20,"Phosphorus","0.155"
"1971-07-12",0,"Depth, Secchi disk depth","2.1"
"1971-07-13",0,"Chlorophyll a, uncorrected for pheophytin","3.36"
"1971-07-14",0,"Depth, Secchi disk depth","2.6"
"1971-07-19",0,"pH","8.5"
"1971-07-19",0,"Phosphorus","0.041"
"1971-07-19",0,"Chlorophyll a, uncorrected for pheophytin","1.65"
"1971-07-19",10,"pH","7.4"
"1971-07-19",10,"Phosphorus","0.106"
"1971-07-19",20,"pH","7.3"
"1971-07-19",20,"Phosphorus","0.183"
"1971-07-30",0,"Depth, Secchi disk depth","2.1"
"1971-07-30",0,"Chlorophyll a, uncorrected for pheophytin","6.46"
"1971-08-02",0,"pH","8.7"
"1971-08-02",0,"Depth, Secchi disk depth","1.6"
"1971-08-02",0,"Alkalinity, total","113"
"1971-08-02",0,"Phosphorus","0.043"
"1971-08-02",0,"Chlorophyll a, uncorrected for pheophytin","4.5"
"1971-08-02",10,"pH","7.55"
"1971-08-02",10,"Alkalinity, total","133"
"1971-08-02",10,"Phosphorus","0.096"
"1971-08-02",20,"pH","7.38"
"1971-08-02",20,"Alkalinity, total","137"
"1971-08-02",20,"Phosphorus","0.214"
"1971-08-10",0,"Depth, Secchi disk depth","1.5"
"1971-08-24",0,"pH","8.23"
"1971-08-24",0,"Depth, Secchi disk depth","1.7"
"1971-08-24",0,"Phosphorus","0.041"
"1971-08-24",0,"Chlorophyll a, uncorrected for pheophytin","2.78"
"1971-08-24",10,"pH","7.12"
"1971-08-24",10,"Phosphorus","0.104"
"1971-08-24",10,"Chlorophyll a, uncorrected for pheophytin","3.2"
"1971-08-24",20,"pH","6.91"
"1971-08-24",20,"Phosphorus","0.227"
"1971-08-24",20,"Chlorophyll a, uncorrected for pheophytin","1.77"
"1971-08-30",0,"Depth, Secchi disk depth","1.8"
"1971-08-31",0,"Depth, Secchi disk depth","1.8"
"1971-09-01",0,"Chlorophyll a, uncorrected for pheophytin","4.53"
"1971-09-13",0,"pH","8.5"
"1971-09-13",0,"Depth, Secchi disk depth","1.8"
"1971-09-13",0,"Phosphorus","0.042"
"1971-09-13",0,"Alkalinity, total","104"
