"X","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","NHD_LAKE_ID","SITE_ID","State"
"1919336","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.000F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"0.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","8.65","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919366","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.060F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"6.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","8.85","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919369","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.070F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"7.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","9.2","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919372","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.080F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"8.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","9.7","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919375","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.090F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"9.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","9.85","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919378","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.100F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"10.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","9.85","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919383","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.110F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"11.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","9.65","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919386","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.120F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"12.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","9.4","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919389","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.130F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"13.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","8.7","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919363","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.050F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"5.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","8.85","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919392","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.140F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"14.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","7.45","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919395","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.150F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"15.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","6.05","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919398","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.160F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"16.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","4.65","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919401","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.170F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"17.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","3.35","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919404","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.180F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"18.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","1.6","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
