"ActivityStartDate","ActivityDepthHeightMeasure.MeasureValue","CharacteristicName","ResultMeasureValue"
"2010-07-10",NA,"Depth, Secchi disk depth","18"
"2010-07-10",NA,"Depth, Secchi disk depth","15"
"2017-08-14",NA,"Depth, Secchi disk depth","5.5"
"2017-08-21",NA,"Depth, Secchi disk depth","6"
"2017-08-27",NA,"Depth, Secchi disk depth","7"
"2017-09-04",NA,"Depth, Secchi disk depth","7"
"2017-09-12",NA,"Depth, Secchi disk depth","7"
"2017-09-20",NA,"Depth, Secchi disk depth","7"
"2017-10-01",NA,"Depth, Secchi disk depth","7"
"2018-05-22",NA,"Depth, Secchi disk depth","6"
"2018-06-23",NA,"Depth, Secchi disk depth","7"
"2018-09-15",NA,"Depth, Secchi disk depth","6"
"2013-06-01",NA,"Depth, Secchi disk depth","6.5"
"2017-09-04",NA,"Depth, Secchi disk depth","8"
"2017-09-12",NA,"Depth, Secchi disk depth","7.5"
"2017-09-20",NA,"Depth, Secchi disk depth","10.5"
"2017-10-01",NA,"Depth, Secchi disk depth","10"
"2018-05-22",NA,"Depth, Secchi disk depth","7"
"1992-06-25",0.5,"pH","8.3"
"1996-05-21",0.5,"pH","7.5"
"1997-06-25",0.5,"pH","7.5"
"1997-07-24",27,"pH","7.5"
"1990-06-20",27,"pH","7.0"
"1991-06-19",11,"pH","7.6"
"1992-06-25",27,"pH","7.6"
"1992-08-19",0.5,"pH","8.3"
"1995-03-22",0.5,"pH","6.9"
"1995-05-11",27,"pH","7.6"
"1997-06-25",27,"pH","7.4"
"1989-07-13",0.5,"Depth, Secchi disk depth","5.8"
"1975-07-19",NA,"Depth, Secchi disk depth","10.3"
"1975-10-28",NA,"Depth, Secchi disk depth","7.5"
"1976-05-05",NA,"Depth, Secchi disk depth","9.2"
"1976-07-21",NA,"Depth, Secchi disk depth","11"
"1977-02-07",NA,"Depth, Secchi disk depth","5.5"
"1977-04-26",NA,"Depth, Secchi disk depth","11.5"
"1977-04-26",NA,"Depth, Secchi disk depth","11.5"
"1977-08-25",NA,"Depth, Secchi disk depth","14.8"
"1978-08-17",NA,"Depth, Secchi disk depth","10.83"
"1978-10-31",NA,"Depth, Secchi disk depth","10.25"
"1979-03-16",NA,"Depth, Secchi disk depth","35"
"1979-05-15",NA,"Depth, Secchi disk depth","13.6"
"1986-07-17",NA,"Depth, Secchi disk depth","14.4357"
"1986-07-17",0.5,"pH","8.7"
"1986-07-17",12,"pH","7.3"
"1986-07-17",26,"pH","7.1"
"1986-07-17",1,"Temperature, water","23.5"
"1986-07-17",2,"Temperature, water","23.5"
"1986-07-17",3,"Temperature, water","23.5"
"1986-07-17",4,"Temperature, water","23.5"
"1987-06-16",0.5,"pH","8.2"
"1988-02-29",0,"Chlorophyll a, uncorrected for pheophytin","2"
"1988-02-29",0,"pH","7.7"
"1988-02-29",0,"Temperature, water","0"
"1988-04-26",0.5,"Temperature, water","4.9"
"1988-02-29",0,"Dissolved oxygen (DO)","13.2"
"1988-02-29",0,"Phosphate-phosphorus","0.03"
"1988-02-29",27,"Dissolved oxygen (DO)","0.1"
"1988-02-29",27,"pH","7.1"
"1988-02-29",27,"Temperature, water","3.5"
"1988-04-26",4,"Temperature, water","4.9"
"1988-04-26",0,"Chloride","1.8"
"1988-04-26",0,"Sulfate","2.79"
"1988-04-26",0,"Phosphate-phosphorus","0.009"
"1988-04-26",0,"Ammonia","0.01"
"1988-04-26",0,"Total suspended solids","<2"
"1988-04-26",0,"Chlorophyll a, uncorrected for pheophytin","5"
"1988-04-26",0,"pH","7.7"
"1988-04-26",0,"Turbidity","0.8"
"1988-04-26",0,"Specific conductance","100"
"1988-04-26",0.5,"Dissolved oxygen (DO)","11.2"
"1988-04-26",0.5,"pH","7.6"
"1988-04-26",0.5,"Depth, Secchi disk depth","3"
"1988-04-26",0,"Chloride","2"
"1988-04-26",0,"Sulfate","2.7"
"1988-04-26",0,"Phosphate-phosphorus","0.01"
"1988-04-26",0,"Ammonia","0.02"
"1988-04-26",0,"Total suspended solids","<2"
"1988-04-26",0,"pH","7.9"
"1988-04-26",0,"Turbidity","0.7"
"1988-04-26",0,"Specific conductance","100"
"1988-04-26",27,"Dissolved oxygen (DO)","11"
"1988-04-26",27,"pH","7.6"
"1988-04-26",27,"Temperature, water","4.3"
"1988-06-16",0,"Phosphate-phosphorus","0.008"
"1988-06-16",0,"Chlorophyll a, uncorrected for pheophytin","3"
"1988-06-16",0.5,"Dissolved oxygen (DO)","8.5"
"1988-06-16",0.5,"pH","8.2"
"1988-06-16",0.5,"Temperature, water","20.5"
"1988-06-16",0.5,"Depth, Secchi disk depth","4"
"1988-06-16",0,"Phosphate-phosphorus","0.01"
"1988-06-16",9,"Dissolved oxygen (DO)","8.7"
"1988-06-16",9,"pH","7.8"
"1988-06-16",9,"Temperature, water","12"
"1988-06-16",0,"Phosphate-phosphorus","0.015"
"1988-06-16",27,"Dissolved oxygen (DO)","3.5"
"1988-06-16",27,"pH","7"
"1988-06-16",27,"Temperature, water","7.9"
"1988-07-11",NA,"Depth, Secchi disk depth","12.46"
"1988-07-11",0,"Chlorophyll a, uncorrected for pheophytin","<5"
"1988-07-11",0,"Phosphate-phosphorus","0.008"
"1988-07-11",0.5,"Depth, Secchi disk depth","3.8"
"1988-07-11",0.5,"pH","8.6"
"1988-07-11",0.5,"Temperature, water","24.0"
"1988-07-11",0.5,"Dissolved oxygen (DO)","8.4"
"1988-07-11",0,"Phosphate-phosphorus","0.011"
"1988-07-11",9,"pH","8.3"
"1988-07-11",9,"Dissolved oxygen (DO)","9.0"
"1988-07-11",9,"Temperature, water","16.0"
"1988-07-11",0,"Phosphate-phosphorus","0.012"
"1988-07-11",27,"Temperature, water","8.3"
"1988-07-11",27,"pH","6.9"
"1988-07-11",27,"Dissolved oxygen (DO)","0.3"
"1988-08-17",0,"Chlorophyll a, uncorrected for pheophytin","<5"
"1988-08-17",0,"Phosphate-phosphorus","0.008"
"1988-08-17",0.5,"Temperature, water","25.1"
"1988-08-17",0.5,"Dissolved oxygen (DO)","8.4"
"1988-08-17",0.5,"Depth, Secchi disk depth","3.5"
"1988-08-17",0.5,"pH","8.5"
"1988-08-17",0,"Phosphate-phosphorus","0.009"
"1988-08-17",12,"pH","7.0"
"1988-08-17",12,"Temperature, water","12.9"
"1988-08-17",12,"Dissolved oxygen (DO)","1.5"
"1988-08-17",0,"Phosphate-phosphorus","0.009"
"1988-08-17",27,"Temperature, water","8.9"
"1988-08-17",27,"pH","6.9"
"1988-08-17",27,"Dissolved oxygen (DO)","0.2"
"1989-02-27",0,"Chlorophyll a, uncorrected for pheophytin","2"
"1989-02-27",0,"Phosphate-phosphorus","0.007"
"1989-02-27",0.5,"Dissolved oxygen (DO)","12.8"
"1989-02-27",0.5,"pH","7.5"
"1989-02-27",0.5,"Temperature, water","0"
"1989-02-27",0,"Phosphate-phosphorus","0.025"
"1989-02-27",27,"Temperature, water","3.6"
"1989-02-27",27,"pH","7.0"
"1989-02-27",27,"Dissolved oxygen (DO)","0.2"
"1989-04-27",0,"Chloride","1.9"
"1989-04-27",0,"pH","7.80"
"1989-04-27",0,"Sulfate","2.6"
"1989-04-27",0,"Inorganic nitrogen (nitrate and nitrite)","0.04"
"1989-04-27",0,"Chlorophyll a, uncorrected for pheophytin","3"
"1989-04-27",0,"Specific conductance","107."
"1989-04-27",0,"Turbidity","0.5"
"1989-04-27",0,"Ammonia","<0.02"
"1989-04-27",0,"Phosphate-phosphorus","0.006"
"1989-04-27",0.5,"pH","7.4"
"1989-04-27",0.5,"Temperature, water","4.0"
"1989-04-27",0.5,"Depth, Secchi disk depth","5.2"
"1989-04-27",0.5,"Dissolved oxygen (DO)","11.2"
"1989-04-27",0,"pH","7.50"
"1989-04-27",0,"Phosphate-phosphorus","0.025"
"1989-04-27",0,"Specific conductance","156."
"1989-04-27",0,"Chloride","2.5"
"1989-04-27",0,"Ammonia","1.2"
"1989-04-27",0,"Sulfate","2.6"
"1989-04-27",0,"Turbidity","20."
"1990-07-19",27,"Temperature, water","10.0"
"1989-04-27",0,"Inorganic nitrogen (nitrate and nitrite)","ND"
"1989-04-27",27,"Temperature, water","4.0"
"1989-04-27",27,"Dissolved oxygen (DO)","0.2"
"1989-04-27",27,"pH","7.2"
"1989-06-19",0,"Phosphate-phosphorus","0.006"
"1989-06-19",0,"Chlorophyll a, uncorrected for pheophytin","2"
"1989-06-19",0.5,"Temperature, water","18.2"
"1989-06-19",0.5,"Dissolved oxygen (DO)","9.6"
"1989-06-19",0.5,"Depth, Secchi disk depth","6.6"
"1989-06-19",0.5,"pH","8.0"
"1989-06-19",0,"Phosphate-phosphorus","0.008"
