"ActivityStartDate","ActivityDepthHeightMeasure.MeasureValue","CharacteristicName","ResultMeasureValue"
"1977-04-04",2.7432,"pH","7.2"
"1977-03-28",4.2672,"pH","7.2"
"1977-03-27",4.2672,"pH","7.4"
"1977-03-27",4.2672,"Specific conductance","345"
"1977-03-27",4.2672,"Temperature, water","1.0"
"1977-03-27",4.2672,"Total suspended solids","2"
"1977-03-27",4.2672,"Inorganic nitrogen (nitrate and nitrite)","1.10"
"1977-03-27",4.2672,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","2.6"
"1977-03-27",4.2672,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","12.0"
"1977-03-27",4.2672,"Phosphorus","0.200"
"1977-03-28",4.2672,"Specific conductance","320"
"1977-03-28",4.2672,"Total suspended solids","3"
"1977-03-28",4.2672,"Inorganic nitrogen (nitrate and nitrite)","1.60"
"1977-03-28",4.2672,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","3.7"
"1977-03-28",4.2672,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","16.0"
"1977-03-28",4.2672,"Phosphorus","0.170"
"1977-03-28",4.2672,"pH","6.8"
"1977-03-28",4.2672,"Specific conductance","325"
"1977-03-28",4.2672,"Total suspended solids","30"
"1977-03-28",4.2672,"Inorganic nitrogen (nitrate and nitrite)","1.20"
"1977-03-28",4.2672,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","2.5"
"1977-03-28",4.2672,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","11.0"
"1977-03-28",4.2672,"Phosphorus","0.220"
"1977-03-28",4.2672,"pH","7.0"
"1977-03-28",4.2672,"Specific conductance","320"
"1977-03-28",4.2672,"Total suspended solids","26"
"1977-03-28",4.2672,"Inorganic nitrogen (nitrate and nitrite)","1.20"
"1977-03-28",4.2672,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","2.6"
"1977-03-28",4.2672,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","12.0"
"1977-03-28",4.2672,"Phosphorus","0.250"
"1977-03-28",4.2672,"pH","6.8"
"1977-03-28",4.2672,"Specific conductance","320"
